symbol,code,name,trade,pricechange,changepercent,buy,sell,settlement,open,high,low,volume,amount,ticktime,per,pb,mktcap,nmc,turnoverratio
sh601059,601059,信达证券,15.580,-0.71,-4.359,15.580,15.590,16.290,16.280,16.380,15.570,31782105,507515622,15:00:01,33.87,2.752,5052594.0,1077512.8,4.59545
sh601066,601066,中信建投,28.300,-1.0,-3.413,28.300,28.310,29.300,29.300,29.530,28.280,33379074,962858183,15:00:01,36.282,2.956,21951446.27551,10786154.51094,0.87578
sh601088,601088,中国神华,40.140,0.53,1.338,40.130,40.140,39.610,39.580,40.400,39.200,41347455,1652894760,15:00:00,13.362,1.922,79752239.09937,66195026.35137,0.25073
sh601100,601100,恒立液压,54.020,-2.63,-4.643,54.010,54.020,56.650,56.300,56.970,54.020,10928089,599219363,15:00:00,29.043,4.807,7243114.998784,7243114.998784,0.81503
sh601111,601111,中国国航,7.670,0.27,3.649,7.660,7.670,7.400,7.380,7.760,7.380,180414059,1379615323,15:00:01,-109.571,3.139,12727383.351982,8926429.966558,1.5502
sh601117,601117,中国化学,8.470,-0.03,-0.353,8.470,8.480,8.500,8.500,8.740,8.460,85548817,735018165,15:00:01,9.517,0.856,5174382.766014,5140934.905414,1.40947
sh601138,601138,工业富联,23.920,-0.95,-3.82,23.910,23.920,24.870,24.800,25.130,23.900,151761884,3712560403,15:00:00,22.566,3.311,47524039.337424,47514592.303256,0.76401
sh601166,601166,兴业银行,18.050,-0.14,-0.77,18.040,18.050,18.190,18.170,18.340,18.050,71365943,1297804346,15:00:00,5.142,0.498,37497614.606405,37497614.606405,0.34353
sh601169,601169,北京银行,5.590,0.03,0.54,5.590,5.600,5.560,5.550,5.650,5.520,147492273,826063507,15:00:00,5.274,0.444,11818928.208048,11818928.208048,0.69759
sh601186,601186,中国铁建,9.370,-0.04,-0.425,9.360,9.370,9.410,9.400,9.550,9.370,63267545,598544942,15:00:01,5.416,0.492,12724030.3855,10778541.0335,0.55
sh601211,601211,国泰君安,19.580,-0.7,-3.452,19.580,19.590,20.280,20.200,20.450,19.580,64249687,1285136044,15:00:01,19.98,1.15,17433504.55396,14646472.152048,0.85892
sh601225,601225,陕西煤业,23.530,0.09,0.384,23.520,23.530,23.440,23.440,23.780,23.220,36212616,854883857,15:00:01,10.744,2.403,22812335.0,22812335.0,0.37352
sh601229,601229,上海银行,7.880,0.01,0.127,7.880,7.890,7.870,7.850,7.990,7.800,56017644,443534595,15:00:01,5.15,0.494,11194860.74316,10911928.777376,0.40453
sh601236,601236,红塔证券,8.560,-0.29,-3.277,8.560,8.570,8.850,8.850,8.920,8.560,36736334,320979964,15:00:03,122.286,1.7,4037570.307152,4037570.307152,0.77884
sh601238,601238,广汽集团,8.770,-0.09,-1.016,8.770,8.780,8.860,8.800,9.000,8.670,46750063,411513011,15:00:01,20.881,0.798,9087491.380386,6456692.515951,0.635
sh601288,601288,农业银行,4.700,0.01,0.213,4.700,4.710,4.690,4.690,4.750,4.650,513685557,2421716445,15:00:00,6.528,0.647,164492025.92031,150044779.06519,0.16091
sh601318,601318,中国平安,55.800,-1.2,-2.105,55.800,55.810,57.000,56.900,57.480,55.800,78059714,4413936480,15:00:00,11.529,1.119,101613109.10706,60055629.9381,0.72528
sh601319,601319,中国人保,7.220,-0.17,-2.3,7.220,7.230,7.390,7.390,7.440,7.220,72865643,534812800,15:00:00,14.157,1.184,31929721.200926,25629380.252926,0.20527
sh601328,601328,交通银行,7.120,-0.01,-0.14,7.110,7.120,7.130,7.120,7.190,7.050,130092376,928179078,15:00:00,6.191,0.555,52875061.37124,27946615.17868,0.33144
sh601336,601336,新华保险,50.370,-1.96,-3.745,50.360,50.370,52.330,51.900,52.450,50.200,23280761,1197356157,15:00:01,18.054,1.726,15713156.2242,10504357.95558,1.11635
sh601360,601360,三六零,12.640,1.15,10.009,12.640,0.000,11.490,11.300,12.640,11.300,257810596,3227982389,15:00:00,-180.571,2.896,8847441.159056,8847441.159056,3.68324
sh601377,601377,兴业证券,6.510,-0.16,-2.399,6.500,6.510,6.670,6.680,6.770,6.500,96347513,638542389,15:00:01,28.304,1.042,5622027.728394,5622027.728394,1.11565
sh601390,601390,中国中铁,6.570,-0.06,-0.905,6.570,6.580,6.630,6.610,6.710,6.570,97256429,646380093,15:00:00,5.077,0.548,16261163.789769,13415578.729497,0.47629
sh601398,601398,工商银行,6.050,-0.02,-0.329,6.050,6.060,6.070,6.060,6.110,6.030,384523275,2337086119,15:00:00,6.173,0.603,215625785.53884,163115388.58609,0.14262
sh601600,601600,中国铝业,7.980,0.03,0.377,7.980,7.990,7.950,7.930,8.150,7.910,149878608,1206002482,15:00:01,20.409,2.059,13690886.129382,10472233.593318,1.1421
sh601601,601601,中国太保,35.060,-0.64,-1.793,35.060,35.070,35.700,35.600,36.000,35.060,30954389,1101016801,15:00:00,12.389,1.234,33728917.14123,23998715.34123,0.45222
sh601607,601607,上海医药,20.600,-0.49,-2.323,20.590,20.600,21.090,20.870,21.040,20.550,26115041,541096704,15:00:03,20.196,1.077,7631804.52056,3981935.45456,1.35103
sh601618,601618,中国中冶,3.380,-0.06,-1.744,3.380,3.390,3.440,3.420,3.460,3.380,113105113,387391783,15:00:01,10.242,0.686,7004583.27946,6034185.27946,0.63355
sh601628,601628,中国人寿,44.680,-1.07,-2.339,44.670,44.680,45.750,45.540,46.180,44.680,14523791,655561291,15:00:00,59.573,2.228,126286701.94,93039532.04,0.06975
sh601633,601633,长城汽车,28.700,1.22,4.44,28.700,28.710,27.480,27.490,29.450,27.240,73759416,2106089341,15:00:00,35.0,3.185,24524251.9711,17741852.1861,1.19316
sh601658,601658,邮储银行,5.250,0.06,1.156,5.250,5.260,5.190,5.190,5.300,5.160,213700687,1120934638,15:00:01,6.325,0.626,52059564.91995,35239257.48,0.31837
sh601668,601668,中国建筑,6.050,-0.04,-0.657,6.050,6.060,6.090,6.090,6.140,6.050,197496312,1203850629,15:00:00,4.618,0.563,25174245.07862,24998836.21862,0.47796
sh601669,601669,中国电建,5.820,-0.02,-0.342,5.820,5.830,5.840,5.830,5.940,5.810,152150909,895478701,15:00:00,8.527,0.735,10025624.732388,7607628.0447,1.16399
sh601688,601688,华泰证券,18.510,-0.62,-3.241,18.500,18.510,19.130,19.060,19.310,18.490,117223628,2212729309,15:00:01,13.711,1.045,16709536.522131,13501806.166422,1.60705
sh601689,601689,拓普集团,51.090,-2.57,-4.789,51.090,51.100,53.660,52.010,53.180,51.000,30072389,1563734489,15:00:01,26.2,4.616,8613902.455587,8613902.455587,1.78363
sh601698,601698,中国卫通,23.350,-2.11,-8.288,23.350,23.360,25.460,24.000,25.300,22.910,235599542,5549828922,15:00:00,282.688,6.295,9863939.93702,9863939.93702,5.57713
sh601699,601699,潞安环能,15.010,-0.08,-0.53,15.010,15.020,15.090,15.050,15.230,14.880,16701414,251936375,15:00:01,5.664,0.957,4490105.2092,4490105.2092,0.55831
sh601728,601728,中国电信,6.700,0.14,2.134,6.700,6.710,6.560,6.500,6.970,6.500,396164776,2674444022,15:00:00,20.303,1.367,61309782.92833,13569292.50594,1.95611
sh601766,601766,中国中车,8.130,-0.13,-1.574,8.130,8.140,8.260,8.220,8.330,8.110,103064473,844926864,15:00:00,19.829,1.427,23332176.503544,19778499.813024,0.42365
sh601788,601788,光大证券,19.790,0.74,3.885,19.780,19.790,19.050,19.050,20.300,18.900,215163960,4196097596,15:00:00,23.56,1.575,9124748.737581,7731357.002381,5.50756
sh601799,601799,星宇股份,137.700,-3.34,-2.368,137.700,137.710,141.040,140.000,142.000,137.600,990862,138315232,15:00:03,35.603,4.047,3933805.59963,3933805.59963,0.34684
sh601800,601800,中国交建,10.940,-0.07,-0.636,10.930,10.940,11.010,10.980,11.270,10.910,78669168,871875299,15:00:01,7.871,0.632,17808800.89895,12851475.55495,0.66968
sh601808,601808,中海油服,15.450,0.15,0.98,15.450,15.460,15.300,15.300,15.680,15.210,11264919,174622873,15:00:03,24.466,1.706,7372109.64,4573923.06,0.38051
sh601816,601816,京沪高铁,5.660,0.13,2.351,5.650,5.660,5.530,5.520,5.760,5.510,271508768,1534469542,15:00:01,24.075,1.391,27794270.289826,27794270.289826,0.5529
sh601818,601818,光大银行,3.450,-0.01,-0.289,3.450,3.460,3.460,3.450,3.500,3.410,220437461,762967735,15:00:00,5.565,0.429,20384515.116045,16010351.368545,0.47501
sh601838,601838,成都银行,15.760,-0.05,-0.316,15.760,15.770,15.810,15.830,16.060,15.680,34086327,542638904,15:00:01,5.236,0.847,6010809.279704,5999182.878696,0.89546
sh601857,601857,中国石油,8.030,0.0,0.0,8.030,8.040,8.030,8.030,8.100,7.980,185354660,1489484687,15:00:01,9.125,0.986,146965845.18785,130023428.48785,0.11447
sh601865,601865,福莱特,25.810,0.51,2.016,25.810,25.820,25.300,25.000,26.420,24.840,29939262,770385176,15:00:01,20.815,2.774,6047075.278539,4904066.523539,1.5757
